date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:01	1002/1002	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jun%202023%2003:24:00%20GMT	https://notokaymiladymaker.net/robots.txt		(from )
22:24:02	195855/195855	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Jun%202023%2003:24:01%20GMT	https://notokaymiladymaker.net/	/Users/oneilbenjamin/websites/beldy/index-2.html	(from )
22:24:02	2242/2242	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jun%202023%2003:24:02%20GMT	https://notokaymiladymaker.net/favicon.ico	/Users/oneilbenjamin/websites/beldy/favicon.ico	(from https://notokaymiladymaker.net/)
22:24:03	2242/2242	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jun%202023%2003:24:03%20GMT	https://notokaymiladymaker.net/icons/apple-touch-icon.png	/Users/oneilbenjamin/websites/beldy/icons/apple-touch-icon.png	(from https://notokaymiladymaker.net/)
22:24:04	120/120	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2018%20Jun%202023%2003:24:04%20GMT	https://www.notokaymiladymaker.net/banner.png	/Users/oneilbenjamin/websites/beldy/banner.2.delayed	(from https://notokaymiladymaker.net/)
22:24:06	263/263	---M--	200	added ('OK')	application/json	date:Sun,%2018%20Jun%202023%2003:24:06%20GMT	https://notokaymiladymaker.net/webmanifest.json	/Users/oneilbenjamin/websites/beldy/webmanifest.json	(from https://notokaymiladymaker.net/)
22:24:07	10786/10786	---MCZ	200	added ('OK')	text/css	date:Sun,%2018%20Jun%202023%2003:24:07%20GMT	https://notokaymiladymaker.net/_next/static/css/23750979bf0f3f88.css	/Users/oneilbenjamin/websites/beldy/_next/static/css/23750979bf0f3f88.css	(from https://notokaymiladymaker.net/)
22:24:08	814366/814366	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jun%202023%2003:24:05%20GMT	https://notokaymiladymaker.net/banner.png	/Users/oneilbenjamin/websites/beldy/banner.png	(from https://notokaymiladymaker.net/)
22:24:08	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jun%202023%2003:24:08%20GMT	https://fonts.gstatic.com/	/Users/oneilbenjamin/websites/beldy/index-4.html	(from https://notokaymiladymaker.net/)
22:24:09	91434/91434	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:08%20GMT	https://notokaymiladymaker.net/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://notokaymiladymaker.net/)
22:24:09	1755/1755	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:09%20GMT	https://notokaymiladymaker.net/_next/static/chunks/webpack-434fefa8f39d8fbc.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/webpack-434fefa8f39d8fbc.js	(from https://notokaymiladymaker.net/)
22:24:11	130001/130001	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:10%20GMT	https://notokaymiladymaker.net/_next/static/chunks/framework-bb5c596eafb42b22.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/framework-bb5c596eafb42b22.js	(from https://notokaymiladymaker.net/)
22:24:11	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jun%202023%2003:24:08%20GMT	https://fonts.googleapis.com/	/Users/oneilbenjamin/websites/beldy/index-3.html	(from https://notokaymiladymaker.net/)
22:24:12	103743/103743	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:11%20GMT	https://notokaymiladymaker.net/_next/static/chunks/main-f0ab8ca0d8b8f804.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/main-f0ab8ca0d8b8f804.js	(from https://notokaymiladymaker.net/)
22:24:12	2889/2889	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:12%20GMT	https://notokaymiladymaker.net/_next/static/chunks/pages/_app-c7985a5ec6fc9050.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/pages/_app-c7985a5ec6fc9050.js	(from https://notokaymiladymaker.net/)
22:24:15	604267/604267	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:13%20GMT	https://notokaymiladymaker.net/_next/static/chunks/061e6b60-28bd444bb64e34ae.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/061e6b60-28bd444bb64e34ae.js	(from https://notokaymiladymaker.net/)
22:24:15	400136/400136	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:14%20GMT	https://notokaymiladymaker.net/_next/static/chunks/0a6e12db-618a59df53cb564c.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/0a6e12db-618a59df53cb564c.js	(from https://notokaymiladymaker.net/)
22:24:17	365874/365874	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:15%20GMT	https://notokaymiladymaker.net/_next/static/chunks/fec483df-71868fa33bf66b62.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/fec483df-71868fa33bf66b62.js	(from https://notokaymiladymaker.net/)
22:24:18	24859/24859	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:17%20GMT	https://notokaymiladymaker.net/_next/static/chunks/pages/index-ac613b75e724a6b6.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/pages/index-ac613b75e724a6b6.js	(from https://notokaymiladymaker.net/)
22:24:18	457/457	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:18%20GMT	https://notokaymiladymaker.net/_next/static/OVJhu7RMvjU3M9rI_fdRn/_buildManifest.js	/Users/oneilbenjamin/websites/beldy/_next/static/OVJhu7RMvjU3M9rI_fdRn/_buildManifest.js	(from https://notokaymiladymaker.net/)
22:24:19	77/77	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:19%20GMT	https://notokaymiladymaker.net/_next/static/OVJhu7RMvjU3M9rI_fdRn/_ssgManifest.js	/Users/oneilbenjamin/websites/beldy/_next/static/OVJhu7RMvjU3M9rI_fdRn/_ssgManifest.js	(from https://notokaymiladymaker.net/)
22:24:20	2783493/2783493	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:16%20GMT	https://notokaymiladymaker.net/_next/static/chunks/710-c2b6c91af8d63157.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/710-c2b6c91af8d63157.js	(from https://notokaymiladymaker.net/)
22:24:20	92/92	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Jun%202023%2003:24:20%20GMT	https://notokaymiladymaker.net/_next/static/OVJhu7RMvjU3M9rI_fdRn/_middlewareManifest.js	/Users/oneilbenjamin/websites/beldy/_next/static/OVJhu7RMvjU3M9rI_fdRn/_middlewareManifest.js	(from https://notokaymiladymaker.net/)
22:24:22	51/51	---MCZ	200	added ('OK')	text/plain	date:Sun,%2018%20Jun%202023%2003:24:21%20GMT	https://fonts.googleapis.com/robots.txt		(from https://notokaymiladymaker.net/)
22:24:22	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Jun%202023%2003:24:22%20GMT	https://fonts.gstatic.com/robots.txt		(from https://notokaymiladymaker.net/)
22:24:23	814366/814366	URF---	200	added ('OK%20(cached)')	image/png		https://notokaymiladymaker.net/banner.png	/Users/oneilbenjamin/websites/beldy/banner.png	(from https://notokaymiladymaker.net/)
22:24:23	91434/91434	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://notokaymiladymaker.net/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://notokaymiladymaker.net/)
22:24:23	130001/130001	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://notokaymiladymaker.net/_next/static/chunks/framework-bb5c596eafb42b22.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/framework-bb5c596eafb42b22.js	(from https://notokaymiladymaker.net/)
22:24:24	103743/103743	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://notokaymiladymaker.net/_next/static/chunks/main-f0ab8ca0d8b8f804.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/main-f0ab8ca0d8b8f804.js	(from https://notokaymiladymaker.net/)
22:24:24	2889/2889	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://notokaymiladymaker.net/_next/static/chunks/pages/_app-c7985a5ec6fc9050.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/pages/_app-c7985a5ec6fc9050.js	(from https://notokaymiladymaker.net/)
22:24:24	604267/604267	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://notokaymiladymaker.net/_next/static/chunks/061e6b60-28bd444bb64e34ae.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/061e6b60-28bd444bb64e34ae.js	(from https://notokaymiladymaker.net/)
22:24:25	365874/365874	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://notokaymiladymaker.net/_next/static/chunks/fec483df-71868fa33bf66b62.js	/Users/oneilbenjamin/websites/beldy/_next/static/chunks/fec483df-71868fa33bf66b62.js	(from https://notokaymiladymaker.net/)
